CNUM_PK,BRAND,MODEL,CARTYPE,2023_1,2023_2,2023_3,2023_4,2023_5,2023_6,2023_7,2023_8,2023_9,2023_10,2023_11,2023_12
1,1,디 올 뉴 그랜저,5,"9,118",9815,10916,9997,11581,11528,8531,8820,8159,8192,7980,8410
2,1,포터2,12,"6,578",6227,7422,6183,5576,5745,5410,4616,4441,6171,7849,5658
3,1,더 뉴 아반떼,3,0,0,6536,5243,6556,5298,4000,4595,4146,4886,5713,4990
4,1,캐스퍼,1,"3,070",3164,3248,3420,4064,3900,3706,3804,3705,3648,5701,4021
5,1,팰리세이드,10,"3,922",3539,4820,4096,3553,3164,3264,3752,2935,2825,3157,2066
6,1,투싼,9,"3,636",3561,4236,4112,4241,4441,3190,2976,3126,3432,3205,0
7,1,스타리아,11,"2,951",3416,3980,3407,3567,3501,3242,2940,2633,3265,3342,3536
8,1,디 올 뉴 코나,8,620,3127,4747,4023,2448,2470,2400,2340,2293,2597,2777,1900
9,1,디 올 뉴 싼타페,9,0,0,0,0,0,0,0,550,4329,7946,8657,7627
10,1,쏘나타 디 엣지,4,0,0,0,0,1729,2951,2142,2600,2540,4546,4574,4855
11,1,포터2 일렉트릭,12,13,4872,2860,2885,2485,2505,3260,1371,1340,2407,1406,395
12,1,싼타페,9,2124,2776,2977,2774,2557,3353,2075,2225,810,385,123,55
13,1,아이오닉 5,9,76,1911,1701,2123,2396,1297,1350,1061,612,1376,1669,763
14,1,버스/트럭 (현대),0,1107,715,1694,1066,1524,1574,1275,1276,1166,1379,1418,1209
15,1,아반떼,3,6018,6257,0,0,0,0,0,0,0,0,0,0
16,1,쏘나타 뉴 라이즈,4,996,1012,1230,1603,901,0,673,401,407,303,321,310
17,1,아이오닉 6,4,23,1632,2200,1316,1117,491,488,400,344,472,618,183
18,1,베뉴,8,646,492,526,449,511,952,546,904,771,1182,776,526
19,1,마이티,12,284,211,585,523,686,681,611,654,614,705,679,524
20,1,쏘나타,4,1543,1228,985,629,0,0,0,0,0,0,0,0
21,1,넥쏘,9,307,884,694,327,410,305,371,293,237,189,232,79
22,1,더 뉴 투싼,9,0,0,0,0,0,0,0,0,0,0,0,3588
23,1,디 올 뉴 코나 일렉트릭,8,0,0,0,0,64,664,238,355,208,337,432,212
24,1,카운티,12,90,174,165,150,156,190,145,144,158,163,241,257
